time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-01-27T22:09:35.100Z,36.059,-83.631,12.8,3.1,md,,102,0.41369,0.1,se,se60252,2022-06-28T13:53:07.860Z,"8 km SW of New Market, Tennessee",earthquake,,0.4,,,reviewed,nm,nm
1983-01-29T18:08:30.400Z,36.125,-83.737,15.9,2.1,md,,122,0.22483,0.1,se,se60253,2022-06-28T13:53:09.045Z,"4 km SW of Blaine, Tennessee",earthquake,,0.6,,,reviewed,nm,nm
1983-01-31T23:04:08.600Z,34.962,-85.512,0,2.1,md,,,0.61154,,se,se60254,2022-06-28T13:53:10.255Z,"9 km N of Trenton, Georgia",earthquake,,,,,reviewed,se,se
1983-02-11T01:15:37.500Z,35.038,-85.006,13,0.7,md,,316,0.48563,0.1,se,se60256,2022-06-28T13:53:16.798Z,"2 km NE of Apison, Tennessee",earthquake,,2.5,,,reviewed,nm,nm
1983-02-27T23:52:17.300Z,35.454,-84.579,0,2.1,md,,,0.15288,,se,se60257,2022-06-28T13:53:22.742Z,"1 km NE of Athens, Tennessee",earthquake,,,,,reviewed,se,se
1983-03-04T14:03:27.700Z,35.599,-84.354,12.9,2.3,md,,145,0.08094,0.1,se,se60258,2022-06-28T13:53:24.052Z,"8 km N of Madisonville, Tennessee",earthquake,,0.5,,,reviewed,nm,nm
1983-03-11T22:29:40.000Z,35.21,-84.422,16.7,1.7,md,,168,0.11691,0,se,se60259,2022-06-28T13:53:29.355Z,"15 km SE of Etowah, Tennessee",earthquake,,0.3,,,reviewed,nm,nm
1983-03-13T03:53:12.600Z,35.507,-84.352,9.5,1.3,md,,95,0.06295,0.1,se,se60260,2022-06-28T13:53:35.319Z,"1 km SE of Madisonville, Tennessee",earthquake,,0.7,,,reviewed,nm,nm
1983-03-13T14:21:44.300Z,35.802,-84.013,11.7,1.1,md,,107,0.16188,0.1,se,se60261,2022-06-28T13:53:36.638Z,"3 km WNW of Alcoa, Tennessee",earthquake,,1.2,,,reviewed,nm,nm
1983-03-16T09:13:52.100Z,35.228,-84.551,11.7,2.6,md,,92,0.12591,0.1,se,se60262,2022-06-28T13:53:42.461Z,"10 km SSW of Etowah, Tennessee",earthquake,,0.5,,,reviewed,nm,nm
